"Prüfung","A:","Name","Note","age","TICKED:age","lAS1","TICKED:lAS1","lAS2","TICKED:lAS2","lAS3","TICKED:lAS3","lage","TICKED:lage","latent01","TICKED:latent01","latent02","TICKED:latent02","latent03","TICKED:latent03","latent04","TICKED:latent04","latent05","TICKED:latent05","latent06","TICKED:latent06","latent07","TICKED:latent07","latent08","TICKED:latent08","latent09","TICKED:latent09","latent10","TICKED:latent10","latent11","TICKED:latent11","latent12","TICKED:latent12","mAS1","TICKED:mAS1","mAS2","TICKED:mAS2","mAS3","TICKED:mAS3","mAS4","TICKED:mAS4","mAS5","TICKED:mAS5","polint","TICKED:polint","sex","TICKED:sex","v5a","TICKED:v5a"
"49","","?","0","","C","","C","","D","","D","","C","","B","","C","","A","","A","","B","","C","","A","","E","","B","","B","","B","","E","","D","","D","","D","","D","","D","","C","","B","","B"
"50","","?","0","","B","","D","","D","","D","","B","","B","","C","","A","","A","","B","","C","","C","","E","","B","","E","","B","","D","","D","","D","","D","","D","","D","","C","","B","","C"
"51","","?","0","","B","","C","","D","","D","","C","","B","","C","","A","","B","","A","","C","","A","","E","","B","","A","","A","","B","","D","","D","","D","","D","","D","","D","","B","","B"
"52","","?","0","","C","","D","","D","","D","","B","","E","","D","","B","","B","","B","","D","","E","","E","","B","","E","","E","","B","","D","","D","","D","","D","","D","","D","","B","","B"
"53","","?","0","","C","","B","","D","","D","","C","","B","","B","","A","","B","","B","","B","","A","","B","","A","","A","","B","","A","","D","","D","","D","","D","","D","","C","","B","","D"
"54","","?","0","","B","","B","","E","","C","","B","","D","","E","","E","","C","","B","","C","","B","","E","","B","","E","","A","","C","","D","","D","","D","","D","","D","","C","","A","","B"
"55","","?","0","","A","","D","","D","","D","","B","","E","","A","","A","","D","","A","","D","","D","","D","","D","","D","","A","","D","","D","","D","","D","","D","","D","","A","","A","","A"
"57","","?","0","","B","","A","","D","","D","","A","","C","","B","","B","","E","","D","","B","","B","","A","","B","","A","","B","","C","","E","","E","","E","","E","","C","","B","","A","","D"
"58","","?","0","","A","","C","","D","","D","","B","","C","","B","","B","","C","","C","","C","","C","","C","","D","","D","","C","","B","","B","","C","","D","","B","","D","","C","","B","","D"
"59","","?","0","","A","","D","","D","","D","","B","","A","","B","","B","","A","","D","","C","","B","","C","","B","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","D"
"60","","?","0","","B","","D","","D","","D","","A","","E","","A","","A","","D","","A","","D","","D","","D","","D","","D","","A","","D","","D","","D","","D","","D","","D","","A","","A","","A"
"61","","?","0","","B","","E","","D","","D","","B","","B","","E","","A","","B","","E","","D","","D","","D","","C","","D","","B","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"62","","?","0","","C","","D","","D","","D","","C","","B","","C","","A","","B","","E","","B","","B","","D","","B","","B","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"63","","?","0","","B","","B","","D","","D","","B","","C","","C","","A","","B","","D","","D","","A","","D","","B","","B","","B","","C","","C","","D","","D","","D","","D","","B","","A","","B"
"64","","?","0","","B","","A","","D","","B","","B","","B","","D","","A","","B","","C","","D","","B","","C","","B","","C","","D","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"65","","?","0","","B","","C","","D","","D","","A","","C","","D","","A","","B","","C","","C","","C","","C","","B","","C","","C","","C","","C","","D","","D","","C","","D","","C","","B","","C"
"66","","?","0","","D","","A","","B","","D","","D","","B","","C","","B","","C","","C","","D","","B","","C","","B","","C","","A","","B","","C","","D","","D","","C","","D","","A","","A","","B"
"67","","?","0","","B","","D","","C","","D","","A","","C","","A","","B","","A","","A","","D","","A","","D","","B","","C","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"68","","?","0","","C","","D","","D","","D","","B","","C","","B","","A","","C","","C","","C","","E","","E","","B","","D","","A","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"69","","?","0","","B","","C","","D","","D","","A","","D","","A","","E","","D","","A","","D","","D","","D","","D","","D","","A","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"70","","?","0","","A","","D","","D","","D","","C","","B","","B","","A","","A","","A","","C","","B","","D","","D","","D","","B","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"71","","?","0","","B","","E","","D","","D","","B","","E","","B","","A","","E","","C","","D","","B","","E","","B","","C","","C","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"72","","?","0","","A","","C","","D","","D","","A","","D","","A","","A","","C","","D","","D","","D","","B","","B","","D","","C","","C","","D","","D","","D","","D","","D","","B","","A","","B"
"73","","?","0","","C","","C","","C","","C","","A","","B","","C","","B","","C","","C","","C","","B","","B","","B","","C","","B","","B","","C","","C","","C","","D","","D","","A","","A","","D"
"74","","?","0","","B","","C","","D","","D","","C","","B","","C","","A","","C","","B","","D","","C","","C","","B","","D","","C","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"75","","?","0","","C","","B","","D","","D","","C","","B","","B","","A","","E","","E","","D","","B","","B","","B","","B","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"76","","?","0","","B","","B","","D","","D","","B","","C","","D","","A","","C","","B","","B","","A","","C","","A","","B","","A","","A","","D","","D","","D","","D","","D","","D","","B","",""
"77","","?","0","","A","","D","","D","","D","","B","","E","","B","","A","","C","","A","","D","","B","","C","","A","","C","","B","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"79","","?","0","","B","","C","","D","","A","","C","","C","","A","","A","","E","","D","","C","","B","","E","","B","","B","","E","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"80","","?","0","","B","","C","","B","","D","","B","","C","","C","","A","","C","","C","","D","","B","","C","","B","","C","","B","","C","","C","","B","","D","","D","","D","","C","","B","","C"
"81","","?","0","","B","","E","","D","","D","","B","","B","","C","","B","","A","","A","","C","","B","","B","","B","","C","","A","","B","","D","","D","","D","","D","","D","","D","","B","","A"
"82","","?","0","","A","","C","","C","","C","","A","","C","","C","","A","","B","","C","","C","","B","","C","","C","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"83","","?","0","","C","","B","","D","","D","","C","","B","","A","","A","","D","","B","","D","","D","","E","","B","","D","","B","","C","","D","","D","","D","","D","","D","","D","","B","","B"
"84","","?","0","","B","","B","","D","","D","","C","","B","","C","","A","","D","","A","","C","","B","","E","","B","","E","","B","","B","","D","","D","","D","","D","","D","","C","","B","","A"
"85","","?","0","","B","","B","","D","","D","","B","","D","","A","","A","","D","","A","","D","","D","","D","","D","","D","","A","","C","","D","","D","","D","","D","","D","","A","","A","","A"
"86","","?","0","","B","","D","","D","","D","","D","","D","","B","","A","","C","","C","","D","","C","","E","","B","","D","","B","","C","","D","","D","","D","","D","","D","","B","","A","","B"
